,config1_kld,config2_kld,config3_kld,config4_kld,config5_kld,avg
Random,3958.4594793995348,577.659088693766,278.0271576933427,200.61957139347808,156.57931190058684,1034.2689218161418
PR,539.0097892693847,288.0321580154264,70.67218830070198,58.06042761474997,17.361201163405998,194.6271528727338
RF,98.57877978195664,24.37408903507655,19.49848320419094,43.05118235407902,205.0939487455021,78.11929662416105
BC_det_best_loss,102.61488774500019,73.81997499938437,87.41586207364485,108.09571278866831,102.9117195396678,94.9716314292731
BC_det_best_eucl,227.83450387164314,160.28722657896134,397.9734019102047,655.8998916697021,2191.4492557498647,726.6888559560751
BC_det_best_dtw,78.67952572732494,64.85565373547077,76.37767833707504,56.568151260689284,176.3294485649027,90.56209152509254
BC_nondet_best_loss,2.0586587643839147,1.910016377560852,1.6455013126021898,0.8892486435411364,0.464175586772824,1.3935201369721835
BC_nondet_best_eucl,2.2380551197546312,2.355179209937953,2.080801268913217,1.7155347462141013,1.0380379308067762,1.885521655125336
BC_nondet_best_dtw,1.8449517407594347,1.722832514731812,1.3281460131786096,1.0304235787384712,0.5177167992487575,1.288814129331417
GAIL_det_ppo_best_loss,885.261712930227,1042.4850256468192,1244.8261980188245,423.67354939231456,7422.871930441947,2203.8236832860266
GAIL_det_ppo_best_eucl,2276.206946363305,9205.972126138224,1554.5579817816085,2400.5329266829763,2389.0579763037667,3565.2655914539764
GAIL_det_ppo_best_dtw,149.13586107395702,1412.4979386145324,759.9778698811315,590.5668744010629,39116.858019314226,8405.807312656983
GAIL_nondet_ppo_best_loss,22.64432308487106,17.423242786900907,15.803570155039116,13.908466071694935,10.591262852852855,16.074172990271773
GAIL_nondet_ppo_best_eucl,15.674891368633011,27.11519154540367,57.73078747880326,107.42567990405489,121.06850551967825,65.80301116331461
GAIL_nondet_ppo_best_dtw,34.90631727791301,195.7517585244234,388.79816535415677,494.5357248576072,678.4841904213748,358.49523128709507
BCxGAIL_det_ppo_best_loss,330.61778468826594,219.14926438633034,40.817661492541596,31.694993693289717,203.6273543367926,165.18141171944404
BCxGAIL_det_ppo_best_eucl,566.5221882355057,397.64674171749346,501.29353396170177,564.8720756672294,1846.2523838182344,775.317384680033
BCxGAIL_det_ppo_best_dtw,317.1775511800336,86.48052532354745,33.11241441373382,53.411055446349636,662.7172604108557,230.57976135490404
BCxGAIL_nondet_ppo_best_loss,1.5814126083374296,1.099432957140378,0.5083253398530585,0.490645472594588,0.3165040785275652,0.7992640912906038
BCxGAIL_nondet_ppo_best_eucl,4.300551108202507,1.804727118294805,1.126597912069148,0.8023847018984942,0.8820276339525213,1.783257694883495
BCxGAIL_nondet_ppo_best_dtw,2.6732792648783392,0.7112874916298436,0.5877713284719841,0.633128043217924,0.5585467669393895,1.032802579027496
